Object ID;Bike route name;Street name;Bikeway type;Subtype;Status;Street segment type;Overall direction;Bikeway direction;Vehicle direction;Speed limit;Surface type;AAA Network;AAA segment;W/N bound type;E/S bound type;Snow removal;Segment length;Year of construction;Construction note;Upgrade year;Notes;Geom;geo_point_2d
128;45th Ave;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;14.6073099;2013;;;;[-123.08249783782976,49.229080633427124] [-123.08269842617818,49.229083370285494];49.22908200185631,-123.08259813200397
129;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.13057447;2003;year const- source unknown;;;[-123.08005098874341,49.22532904768539] [-123.0800667221453,49.224896223297684];49.22511263549154,-123.08005885544435
130;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;46.97981724;2003;year const- source unknown;;;[-123.08010625896429,49.22385273688957] [-123.08012155907507,49.2234302599402];49.223641498414885,-123.08011390901966
131;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;61.1942757;2003;year const- source unknown;;;[-123.0800667221453,49.224896223297684] [-123.08006672346345,49.224896189114766] [-123.08008757216615,49.22434593424049];49.224621078769516,-123.08007714716717
132;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.13233892;2003;year const- source unknown;;;[-123.08003868183643,49.225761935329636] [-123.08003867767407,49.225761909246245] [-123.08005098874341,49.22532904768539];49.225545491667184,-123.08004483283342
133;Pacific;Pacific St;Protected Bike Lanes;R;Active;Arterial;EW;2W;2W;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;54.70024328;2016;S.side east of burrard- 2011- N- in 2017;;;[-123.13236910979514,49.276970652595345] [-123.1318336865703,49.2766251371351];49.276797894865226,-123.13210139818271
134;Kerr;Kerr;Protected Bike Lanes;R;Active;Off-street;NS;2W;Off Street;;Paved;NO;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;106.0956514;2009;2011- local to protected;2011;;[-123.0422563386574,49.20810714186729] [-123.04223025661332,49.207961321546605] [-123.0422486618085,49.20715386863945];49.207631466770586,-123.04224005411037
135;22nd Ave;E 22nd Ave;Shared Lanes;;Active;Collector;EW;2W;2W;50;Paved;NO;NO;Shared Lanes;Shared Lanes;Yes;23.05309451;2009;Paint;;;[-123.0390664083162,49.2506060284115] [-123.03874963762192,49.25060528324272];49.25060565582711,-123.03890802296904
136;Homer;Homer;Painted Lanes;NB;Active;Arterial;NS;OW;2W;50;Paved;NO;NO;Painted Lanes;;Yes;176.5796484;2005;;;;[-123.11518700810873,49.280596498996154] [-123.11575259894038,49.2802195988549] [-123.11688787440364,49.27946307219894];49.280029785405794,-123.11603744112841
137;Homer;Homer;Painted Lanes;NB;Active;Arterial;NS;OW;2W;50;Paved;NO;NO;Painted Lanes;;Yes;106.5355014;2005;;;;[-123.12064145331085,49.276987653439946] [-123.12167241953355,49.27630695822814];49.27664730583405,-123.12115693642221
138;Homer;Homer;Painted Lanes;NB;Active;Arterial;NS;OW;2W;50;Paved;NO;NO;Painted Lanes;;Yes;164.8826822;2005;;;;[-123.11688787440364,49.27946307219894] [-123.11848760406743,49.278412208806664];49.278937640502804,-123.11768773923554
139;Davie;Davie;Painted Lanes;NB;Active;Residential;EW;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;21.31421325;2009;;;;[-123.11981211890435,49.273014343000966] [-123.11971536508062,49.272833371869794];49.27292385743538,-123.11976374199249
140;Central Valley;E 1st Ave;Protected Bike Lanes;R;Active;Residential;EW;2W;2W;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;145.8868284;2007;PL tp PBL in -2018;2018;;[-123.10065748952549,49.270117238059306] [-123.10065752940653,49.27011724612026] [-123.10255435248594,49.27015170192773] [-123.10257001985622,49.270151968670866] [-123.10266213821873,49.270153640923056];49.27013545170104,-123.10165981332149
141;Central Valley;E 1st Ave;Protected Bike Lanes;R;Active;Residential;EW;2W;2W;50;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;61.52696143;2011;N side SL-PL 2016. both sides protected-2018;2018;;[-123.10375242412442,49.27017366184092] [-123.10459786749858,49.27018919078825];49.27018142631458,-123.1041751458115
142;45th Ave;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;90.31679387;2013;;;;[-123.09397643447295,49.2292367344557] [-123.09521655778738,49.229256966647505];49.229246850551604,-123.09459649613017
143;45th Ave;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;60.13567711;2013;;;;[-123.09945453833977,49.22933327097624] [-123.10028015097552,49.22934917327279];49.22934122212452,-123.09986734465764
144;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;22.13565771;2011;;;;[-123.10581168254667,49.22945499586273] [-123.10581172238045,49.22945499672577] [-123.10611534650099,49.22946484598097];49.2294599207075,-123.10596351452963
145;45th Ave;E 47th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;34.00587074;2013;;;;[-123.0593043128561,49.22758544789082] [-123.0597712927164,49.227591034341394];49.22758824111611,-123.05953780278625
146;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.97364944;2009;;;;[-123.17385277471647,49.26756606307634] [-123.17383620231651,49.26801545418375];49.26779075863004,-123.1738444885165
147;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;47.02308051;2009;;;;[-123.17392933815022,49.26546214024844] [-123.17392934378421,49.26546217891935] [-123.17391395344852,49.265884974995735] [-123.17391395903827,49.265885001073414];49.26567357075709,-123.17392164884195
148;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;46.88171315;2009;;;;[-123.17383620231651,49.26801545418375] [-123.173820894187,49.26843704457871];49.26822624938123,-123.17382854825175
149;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.54061632;2009;;;;[-123.17380455863224,49.26888201681403] [-123.17378848720959,49.26932751933207];49.26910476807305,-123.17379652292092
150;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.64878366;2009;;;;[-123.17377210546688,49.26977437425857] [-123.17375598191254,49.270220849162214];49.269997611710394,-123.17376404368972
151;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.61632456;2009;;;;[-123.17375598191254,49.270220849162214] [-123.17373931953065,49.27066702349992];49.27044393633106,-123.1737476507216
152;Balaclava;Balaclava;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.48228889;2009;;;;[-123.173820894187,49.26843704457871] [-123.17382090805613,49.26843707963914] [-123.17380455863224,49.26888201681403];49.26865952938744,-123.1738127340358
153;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.69889469;2003;;;;[-123.08374151297424,49.25271533157591] [-123.08372167150787,49.2531711941126];49.252943262844255,-123.08373159224107
154;Windsor;Windsor;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;46.87826129;2003;;;;[-123.08460573698792,49.23984317941814] [-123.08459358729885,49.24026478541339];49.24005398241576,-123.08459966214339
155;Cypress;SW Marine Drive;Shared Lanes;;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Shared Lanes;Shared Lanes;No;306.4879214;1996;year const- Peter Stary;;;[-123.13695194419356,49.20375183016212] [-123.14064383905317,49.20507424548272];49.20441303782242,-123.13879789162337
156;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;42.50935004;1995;year const- Peter Stary;;;[-123.10566239747995,49.23261832359646] [-123.10567731950178,49.23223609257769] [-123.1056773221933,49.23223606648899];49.23242719498347,-123.10566985900248
157;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;45.15370158;1995;year const- Peter Stary;;;[-123.10569796691206,49.231713755184806] [-123.10569795724331,49.23171373000695] [-123.10573321702479,49.23130827974497] [-123.10573322519129,49.231308244656];49.23151100036484,-123.10571558752697
158;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;70.08042209;1995;year const- Peter Stary;;;[-123.10558971689439,49.234602383927815] [-123.10558971268331,49.23460234165397] [-123.1056094767353,49.234149955078664] [-123.10561750458436,49.23397225642729];49.23428731605144,-123.105603512946
159;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;60.17052502;1995;year const- Peter Stary;;;[-123.10565460545747,49.23315954817183] [-123.10566239747995,49.23261832359646];49.23288893588415,-123.10565850146871
160;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.27811945;1995;year const- Peter Stary;;;[-123.1055047235803,49.23686960539048] [-123.10550472075815,49.2368695703116] [-123.10552280021146,49.236417496704014];49.236643551089855,-123.10551375978181
161;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.32684709;1995;year const- Peter Stary;;;[-123.10552280021146,49.236417496704014] [-123.10552279325479,49.23641745533223] [-123.10554232351508,49.23596497557451];49.23619123641013,-123.10553255748079
162;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;168.7210627;1995;year const- Peter Stary;;;[-123.10511210525668,49.24605723426518] [-123.10517788674085,49.244540161366885];49.24529869781603,-123.10514499599876
163;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;44.79746953;1995;year const- Peter Stary;;;[-123.10509156582653,49.246459973133554] [-123.10511210525668,49.24605723426518];49.24625860369937,-123.1051018355416
164;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;60.66166679;1995;year const- Peter Stary;;;[-123.10498909784889,49.24884586778861] [-123.10498910191569,49.24884584169874] [-123.10500969218036,49.24830036936256];49.24857311872371,-123.10499939654994
165;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;172.4584925;2024;;;;[-123.14593380455601,49.259027731283695] [-123.14830323251239,49.25906613716968];49.25904693422669,-123.14711851853419
166;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;134.2975109;2024;;;;[-123.15070437280605,49.25910541559235] [-123.15254954042183,49.259134372081824];49.25911989383709,-123.15162695661394
167;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;172.4748076;2024;;;;[-123.13390122171148,49.25883368585304] [-123.13627085173033,49.25887244620167];49.258853066027356,-123.1350860367209
168;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;172.429053;2024;;;;[-123.1435647409161,49.25899045472713] [-123.14593380455601,49.259027731283695];49.25900909300542,-123.14474927273605
169;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;127.2887647;2024;;;;[-123.13944507999386,49.25892293588434] [-123.1411939032397,49.258951512623746];49.25893722425403,-123.14031949161678
170;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;;Paved;NO;NO;Local Street;Local Street;No;172.4636658;2024;;;;[-123.13153170809912,49.258795947203005] [-123.13390122171148,49.25883368585304];49.25881481652802,-123.1327164649053
171;Chilco;Chilco;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;28.89616883;2006;Upgrade to AAA in 2021;2021;;[-123.13785172175956,49.293736997689244] [-123.13813104717715,49.29355215540828] [-123.13813108700025,49.2935521337723];49.29364456404365,-123.13799140336602
172;Chilco;Chilco;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;26.94585462;2006;Upgrade to AAA in 2021;2021;;[-123.14077736281143,49.291797898848166] [-123.1410374381066,49.29162523798215];49.29171156841516,-123.14090740045903
173;Chilco;Chilco;Local Street;;Active;Residential;NS;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;54.93569083;2006;Upgrade to AAA in 2021;2021;;[-123.13997596328231,49.29232890875568] [-123.13997599762804,49.29232889612083] [-123.14009244940958,49.2922518013863] [-123.14050692483315,49.29197742963607] [-123.14050696324288,49.291977395407756];49.2921531569499,-123.14024146621158
174;Quebec;Quebec;Painted Lanes;PBT;Active;Arterial;NS;2W;2W;50;Paved;NO;NO;Painted Lanes;Painted Lanes;Yes;182.1971866;2009;W side- 2009,e side - 2013;2013;PBT northbound,NB sountbound;[-123.10221604895953,49.27927350237343] [-123.10212848384027,49.27906677518157] [-123.10212491514301,49.27771462787247] [-123.10212468627371,49.27764240034696];49.27846563082351,-123.10213282057788
175;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.67831191;2006;year constr- source unknown;;;[-123.18754646052813,49.27044156119654] [-123.1875647682289,49.269994856809696];49.27021820900312,-123.18755561437851
176;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;53.42843012;2006;year constr- source unknown;;;[-123.18747239664329,49.272299594695035] [-123.18747239791912,49.27229956860689] [-123.18748502277984,49.27198785913391] [-123.18749185630557,49.27181916559849];49.27205938013725,-123.18748212622812
177;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;54.96749578;2006;year constr- source unknown;;;[-123.18773261539768,49.265757375321456] [-123.18775186775974,49.26526309334893];49.265510234335196,-123.18774224157872
178;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;95.28223904;2006;year constr- source unknown;;;[-123.1876514799147,49.26779721412412] [-123.18767475107634,49.26720927313501] [-123.18768538071323,49.266940420663225];49.26736881755295,-123.18766843434021
179;Highbury;Highbury;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;17.5970459;2006;year constr- source unknown;;;[-123.18772617675728,49.265915606982006] [-123.18773260179245,49.26575741222393] [-123.18773261539768,49.265757375321456];49.26583648995417,-123.18772939007441
180;Beach;Beach Crescent;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;108.3274405;2011;pre 2011;;;[-123.12690812046444,49.27157215883551] [-123.12690860240994,49.27157247313799] [-123.12795428463832,49.27224919321288] [-123.12796634723034,49.27225700207454] [-123.12796637751792,49.27225701913187] [-123.12796691455783,49.27225736934965];49.27191476405232,-123.12743751757658
181;Beach;Beach Crescent;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;119.0883819;2011;pre 2011;;;[-123.12835012907438,49.27315907218998] [-123.12835057247757,49.273159357744554] [-123.12835950783399,49.27316504177528] [-123.12835956015985,49.273165074999376] [-123.12836861202211,49.273170624871604] [-123.12836864093798,49.273170642829875] [-123.12837784380952,49.273176110677355] [-123.1283872251451,49.27318148117776] [-123.12838726231638,49.27318150182539] [-123.12839679994069,49.27318670574029] [-123.12840643791728,49.273191907743836] [-123.12841621981,49.27319694317556] [-123.12842619938957,49.2732018722435] [-123.12843145196975,49.27320442014034] [-123.1284361870023,49.273206717646325] [-123.12844254992088,49.273209624116134] [-123.12844640788582,49.27321139547843] [-123.12845672882729,49.2732159580599] [-123.1284671678195,49.273220452145765] [-123.12847064412057,49.27322189020997] [-123.12847772338493,49.27322483815873] [-123.12848838986115,49.273229053138785] [-123.12849234330305,49.27323053294913] [-123.1284991699741,49.2732330880876] [-123.1285100586758,49.273237116618034] [-123.12852106102821,49.27324097051427] [-123.12853218666125,49.27324465246417] [-123.12853755409317,49.2732464266419] [-123.12856339346698,49.27325434064899] [-123.12856599515278,49.27325513742676] [-123.1285719809825,49.2732568218624] [-123.12857745228854,49.27325836204768] [-123.12858901480038,49.27326140214878] [-123.12860064580912,49.273264349521995] [-123.12860070496211,49.27326436474798] [-123.1286123891306,49.273267136654596] [-123.12862418580112,49.27326982118145] [-123.12863172501278,49.27327147959778] [-123.12865991190236,49.27327706661229] [-123.12867193400399,49.273279211171726] [-123.12868395564104,49.273281176726115] [-123.12869608977033,49.27328305130252] [-123.12870161141078,49.273283856518674] [-123.12874518894573,49.27328911243629] [-123.12875743531102,49.273290268165375] [-123.12876986013386,49.273291324747134] [-123.12876990688396,49.27329132829314] [-123.12878225701077,49.273292207751524] [-123.1287889625915,49.273292597865115] [-123.12879473593851,49.27329292425208] [-123.1288016861085,49.27329327091538] [-123.12880710048552,49.273293533836] [-123.12881956495927,49.27329397869519] [-123.12883203463936,49.27329431110732] [-123.1288445038862,49.27329447710755] [-123.12885198518127,49.273294479559226] [-123.12885697271136,49.27329448119343] [-123.12886944261835,49.2732943728369] [-123.12888191206127,49.273294086374705] [-123.12889437166066,49.27329371536735] [-123.12890680192882,49.27329316718608] [-123.12890684866485,49.27329316533489] [-123.12891920305786,49.27329251559131] [-123.12893166972567,49.27329169211389] [-123.12894402320593,49.27329069245568] [-123.1289563778048,49.27328959474729] [-123.12896871822203,49.27328833064239] [-123.12898098136074,49.27328695418251] [-123.12899322346739,49.27328542032897] [-123.12899519413665,49.2732851536703] [-123.12900544606435,49.27328378574974] [-123.12901757059042,49.27328197317393] [-123.12902508165358,49.27328073964183] [-123.12902970978713,49.273279987872804] [-123.12904177586657,49.273277904604434] [-123.12904181708961,49.27327789736226] [-123.12904372153677,49.2732775408248] [-123.12905382771902,49.27327563784881] [-123.129065725378,49.273273285809815] [-123.1290726406961,49.27327186673958] [-123.12907762142876,49.273270844719] [-123.1290894029066,49.27326822385109] [-123.12910113169988,49.27326543303175] [-123.12910118390663,49.27326542038014] [-123.12911274198834,49.27326253620037] [-123.12911277908249,49.27326252716372] [-123.12912440817435,49.27325946120055] [-123.1291332443103,49.27325711257584] [-123.129135820274,49.27325647823448] [-123.12915233139144,49.27325249739827] [-123.1291676183932,49.273248812070904] [-123.12917868310124,49.273247042940326] [-123.12921357430476,49.273241464688205] [-123.12921910154247,49.273240727197965] [-123.12922173599931,49.27324038243443] [-123.12923000512421,49.2732393774186] [-123.12923687699616,49.27323869689237] [-123.12923826098326,49.273238556818434] [-123.12924033493002,49.27323835750401] [-123.1292466653218,49.27323773964969] [-123.12925162573458,49.27323736170008] [-123.12925560890518,49.27323705680497] [-123.12929284550593,49.27323520801039] [-123.129338818789,49.27323556853846] [-123.12934720830673,49.27323591895488] [-123.12935538222081,49.27323635686546] [-123.12935676405783,49.273236446169925] [-123.12936387532073,49.27323688976712] [-123.1293696106031,49.27323738078] [-123.12937560576057,49.27323789129101] [-123.12942072770824,49.27324336110925] [-123.12942170545145,49.27324347965015] [-123.12942975937254,49.273244818108594] [-123.1294379235005,49.273246243696356] [-123.12943797026236,49.27324625173965] [-123.12944608789014,49.27324776912989] [-123.12945402704648,49.27324937937001] [-123.12945866643665,49.273250306074004] [-123.12946208030327,49.273250988582184] [-123.12946907361835,49.273252588187276] [-123.12946990582448,49.27325277705333] [-123.12946995121868,49.27325278779668] [-123.12947786081303,49.27325465802934] [-123.12948579954794,49.27325663167349] [-123.12949350067247,49.27325868833915] [-123.1294975273224,49.27325976324944] [-123.12950121417721,49.27326074768898] [-123.12950892815594,49.273262987841115] [-123.12951653790107,49.27326532165958] [-123.12952414374882,49.273267741835745] [-123.12953150488181,49.27327015688862] [-123.12953899023557,49.27327276070082] [-123.12953904665355,49.273272781326504] [-123.12954637955242,49.27327543838076] [-123.12955029999375,49.27327690200056] [-123.1295536301027,49.27327814679946] [-123.12955571360662,49.27327897202103] [-123.12956078069449,49.27328100644903] [-123.12956794781681,49.273283878672885] [-123.12957496531381,49.27328683471936] [-123.12957500109675,49.273286849971065] [-123.12958190608374,49.27328988889904] [-123.12958892429165,49.27329311569916] [-123.12959573492375,49.273296345430225] [-123.12960057459496,49.27329867965141] [-123.1296023846735,49.2732995600495] [-123.12960242733719,49.27329957799202] [-123.12960427609904,49.27330053120774] [-123.12960901435703,49.273302986077915] [-123.12961409400992,49.27330561687069] [-123.12961554358505,49.27330637353931] [-123.12961559314591,49.273306400469295] [-123.12962206904325,49.27330989593244] [-123.12962651617183,49.27331246986501] [-123.12962842719809,49.27331357592875] [-123.12963455828803,49.27331716622755] [-123.12963838882074,49.27331946649808] [-123.12964068138035,49.27332085188401] [-123.1296407130533,49.273320872537425] [-123.12964706520718,49.273324884462] [-123.12964886367166,49.27332605361804] [-123.12969364982267,49.27335493998991] [-123.12981589591267,49.27343378589301];49.27327524164681,-123.12909173146915
182;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.31476892;1995;year const- Peter Stary;;;[-123.10459786749858,49.27018919078825] [-123.10461629745464,49.269736760721685];49.269962975754964,-123.1046070824766
183;Burrard Bridge;Burrard Bridge;Protected Bike Lanes;SL;Active;Arterial;NS;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;58.37923973;1990;Ped shared to protected E-2010. protected 2016/7;2016;;[-123.13236907546052,49.27697066612746] [-123.13236910979514,49.276970652595345] [-123.13308073725905,49.27672785387381];49.27684925919312,-123.13272490606306
184;Burrard Bridge;Burrard Bridge;Protected Bike Lanes;SL;Active;Arterial;NS;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;130.2003667;1990;Ped shared to protected E-2010. protected 2016/7;2016;;[-123.1341860572506,49.27635854017757] [-123.13578711310743,49.275835440924766] [-123.13578749770508,49.27583531454019];49.27609692768773,-123.13498677758558
185;Burrard Bridge;Burrard Bridge;Protected Bike Lanes;SL;Active;Arterial;NS;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;11.04567554;1990;Ped shared to protected E-2010. protected 2016/7;2016;;[-123.13578749770508,49.27583531454019] [-123.13592337397375,49.275790948830526];49.275813131685354,-123.13585543583943
186;Beach;BEACH AV;Protected Bike Lanes;SL;Active;Arterial;EW;BD;2W;30;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;198.9537101;2021;;;;[-123.14281769812358,49.284530412463454] [-123.14283812646153,49.28456206821995] [-123.1424904839131,49.28630253281339];49.285413882893714,-123.1426677059202
187;Beach;BEACH AV;Protected Bike Lanes;SL;Active;Arterial;EW;BD;2W;30;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;120.6906873;2021;;;;[-123.14067379380738,49.28234396712848] [-123.14185416446338,49.283107060258295];49.28272551369339,-123.14126397913539
188;Off-Broadway;W 7th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;174.5538051;1994;year const- Peter Stary;;;[-123.12412620033457,49.2651173032067] [-123.12652472624039,49.265155799767825];49.26513655148726,-123.1253254632875
189;Off-Broadway;W 7th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;60.20623043;1994;year const- Peter Stary;;;[-123.12278301421075,49.26509571875487] [-123.12361025541358,49.26510904643049] [-123.12361029939983,49.26510904728296];49.265102382947035,-123.12319665680657
190;Off-Broadway;W 7th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;YES;YES;Local Street;Local Street;No;67.91055115;1994;Upgrade to AAA in 2020;2020;;[-123.14569300822615,49.26546337130673] [-123.14662616492943,49.26547837954003];49.265470875423375,-123.1461595865778
191;Off-Broadway;W 7th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;56.37150766;1994;year const- Peter Stary;;;[-123.11476137536232,49.26485746370347] [-123.11490103723334,49.26496783008574] [-123.11545672341978,49.26497690730891];49.26495788064566,-123.11509453727157
192;Seaside;Off Street;Protected Bike Lanes;OSB;Active;Off-street;EW;2W;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;12.01947936;1990;;;;[-123.13225763377223,49.29344175149243] [-123.13237703876733,49.29351651837265];49.29347913493254,-123.13231733626978
193;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;44.16258078;1995;year const- Peter Stary;;;[-123.10486390045767,49.26376902008086] [-123.10488018470085,49.26337191193224];49.26357046600654,-123.10487204257926
194;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.27426059;1995;year const- Peter Stary;;;[-123.104695355187,49.26783784513371] [-123.10471357523917,49.26738577576392];49.26761181044882,-123.10470446521309
195;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;52.68682945;1995;year const- Peter Stary;;;[-123.10489571884656,49.26300556624336] [-123.10491555795736,49.26253181564119];49.26276869094227,-123.10490563840196
196;Prince Edward;Prince Edward;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;100.621314;2012;;;;[-123.09705441082612,49.23715846602925] [-123.09707120094365,49.23670653969097] [-123.09708820311876,49.236253623659145];49.23670604321169,-123.09707126325931
197;Ontario;Ontario;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;50.28781083;1995;year const- Peter Stary;;;[-123.10481316006953,49.252751990324505] [-123.10483381953111,49.252299842874535];49.252525916599524,-123.10482348980031
198;Balaclava;Carnarvon;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;52.83012942;2009;2013 paint&signs N.of 43rd;;;[-123.17303694371834,49.23710508520284] [-123.17303981416221,49.23662986985944];49.23686747753114,-123.17303837894028
199;Balaclava;Carnarvon;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;29.91255551;2009;2013 paint&signs N.of 43rd;;;[-123.17303537935307,49.23737415349308] [-123.17303694371834,49.23710508520284];49.23723961934796,-123.1730361615357
200;Balaclava;Carnarvon;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;27.42892989;2009;2013 paint&signs N.of 43rd;;;[-123.17303981416221,49.23662986985944] [-123.17304049493383,49.236383140767956];49.2365065053137,-123.17304015454802
201;Balaclava;Carnarvon;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;77.36582178;2009;2013 paint&signs N.of 43rd;;;[-123.17304049493383,49.236383140767956] [-123.17304111419335,49.23615852118956] [-123.17304229364805,49.23568726441321] [-123.17304228936675,49.23568721854383];49.23603517960711,-123.17304141367822
202;Balaclava;Carnarvon;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;52.72671178;2009;;;;[-123.1729835530945,49.24374766857775] [-123.17298837985258,49.243273390858214];49.24351052971798,-123.17298596647353
